U+1F380	🎀	\xf0\x9f\x8e\x80	RIBBON
U+1F381	🎁	\xf0\x9f\x8e\x81	WRAPPED PRESENT
U+1F382	🎂	\xf0\x9f\x8e\x82	BIRTHDAY CAKE
U+1F383	🎃	\xf0\x9f\x8e\x83	JACK-O-LANTERN
U+1F384	🎄	\xf0\x9f\x8e\x84	CHRISTMAS TREE
U+1F385	🎅	\xf0\x9f\x8e\x85	FATHER CHRISTMAS
U+1F386	🎆	\xf0\x9f\x8e\x86	FIREWORKS
U+1F387	🎇	\xf0\x9f\x8e\x87	FIREWORK SPARKLER
U+1F388	🎈	\xf0\x9f\x8e\x88	BALLOON
U+1F389	🎉	\xf0\x9f\x8e\x89	PARTY POPPER
U+1F38A	🎊	\xf0\x9f\x8e\x8a	CONFETTI BALL
U+1F38B	🎋	\xf0\x9f\x8e\x8b	TANABATA TREE
U+1F38C	🎌	\xf0\x9f\x8e\x8c	CROSSED FLAGS
U+1F38D	🎍	\xf0\x9f\x8e\x8d	PINE DECORATION
U+1F38E	🎎	\xf0\x9f\x8e\x8e	JAPANESE DOLLS
U+1F38F	🎏	\xf0\x9f\x8e\x8f	CARP STREAMER
U+1F390	🎐	\xf0\x9f\x8e\x90	WIND CHIME
U+1F391	🎑	\xf0\x9f\x8e\x91	MOON VIEWING CEREMONY
U+1F392	🎒	\xf0\x9f\x8e\x92	SCHOOL SATCHEL
U+1F393	🎓	\xf0\x9f\x8e\x93	GRADUATION CAP
U+1F394	🎔	\xf0\x9f\x8e\x94	HEART WITH TIP ON THE LEFT
U+1F395	🎕	\xf0\x9f\x8e\x95	BOUQUET OF FLOWERS
U+1F396	🎖	\xf0\x9f\x8e\x96	MILITARY MEDAL
U+1F397	🎗	\xf0\x9f\x8e\x97	REMINDER RIBBON
U+1F398	🎘	\xf0\x9f\x8e\x98	MUSICAL KEYBOARD WITH JACKS
U+1F399	🎙	\xf0\x9f\x8e\x99	STUDIO MICROPHONE
U+1F39A	🎚	\xf0\x9f\x8e\x9a	LEVEL SLIDER
U+1F39B	🎛	\xf0\x9f\x8e\x9b	CONTROL KNOBS
